trial	image	fixationx	fixationy	duration
4	testint22.jpg	664.3	193.8	264
4	testint22.jpg	597.5	318	500
4	testint22.jpg	555.1	386.1	344
4	testint22.jpg	567	468.4	196
4	testint22.jpg	544.9	486.2	68
4	testint22.jpg	509.7	531.8	520
4	testint22.jpg	322.7	619.5	316
4	testint22.jpg	35.9	596.6	384
4	testint22.jpg	702.7	666.9	408
4	testint22.jpg	738	688.7	88
4	testint22.jpg	707.6	655.5	212
4	testint22.jpg	904.4	682.8	376
4	testint22.jpg	801.4	650.5	292
4	testint22.jpg	496.6	675.7	100
4	testint22.jpg	840.7	653.6	224
4	testint22.jpg	953.6	435.9	248
4	testint22.jpg	906.5	494.1	200
4	testint22.jpg	802.1	381.3	332
4	testint22.jpg	925.7	290.7	168
4	testint22.jpg	821.2	365.5	388
4	testint22.jpg	727.3	300.5	348
4	testint22.jpg	506.3	325.7	388
4	testint22.jpg	322.4	367.4	128
4	testint22.jpg	650.5	281.9	260
4	testint22.jpg	530.5	241.5	300
4	testint22.jpg	431.3	161.6	528
4	testint22.jpg	314.6	217.5	244
4	testint22.jpg	331.9	189.4	636
4	testint22.jpg	311.9	241.8	168
4	testint22.jpg	328.6	197.5	48
4	testint22.jpg	322.1	224.2	68
4	testint22.jpg	114.8	245.1	400
4	testint22.jpg	314.5	180.9	392
4	testint22.jpg	295.2	246.2	348
4	testint22.jpg	98.4	252.3	444
4	testint22.jpg	325.8	220.2	132
5	testlandscape02.jpg	513.8	386.5	228
5	testlandscape02.jpg	363.6	416.3	380
5	testlandscape02.jpg	487.7	625.8	360
5	testlandscape02.jpg	621.6	449.9	320
5	testlandscape02.jpg	337.1	391.8	100
5	testlandscape02.jpg	259	320.8	120
5	testlandscape02.jpg	349.1	144.2	372
5	testlandscape02.jpg	146.5	202.8	208
5	testlandscape02.jpg	719.9	345.8	636
5	testlandscape02.jpg	510.8	264.4	252
5	testlandscape02.jpg	483.5	420.2	272
5	testlandscape02.jpg	684.8	555.5	424
5	testlandscape02.jpg	616.1	594.6	280
5	testlandscape02.jpg	585.2	643.1	472
5	testlandscape02.jpg	571.4	719.2	404
5	testlandscape02.jpg	625	340.2	84
5	testlandscape02.jpg	678.2	162.6	488
5	testlandscape02.jpg	708.2	98.6	400
5	testlandscape02.jpg	662.4	129.5	188
5	testlandscape02.jpg	854.5	-14	416
5	testlandscape02.jpg	582.1	739.2	112
5	testlandscape02.jpg	653.8	687.8	136
5	testlandscape02.jpg	172.4	700.2	164
5	testlandscape02.jpg	718.6	37.9	148
5	testlandscape02.jpg	853.5	-1.8	304
5	testlandscape02.jpg	863.8	-39.9	356
5	testlandscape02.jpg	364.7	179.8	252
5	testlandscape02.jpg	208	210.9	444
5	testlandscape02.jpg	179.2	414.2	32
5	testlandscape02.jpg	176.2	347.6	348
5	testlandscape02.jpg	112.1	613.5	180
5	testlandscape02.jpg	151.1	693.9	792
5	testlandscape02.jpg	238.4	654.1	624
5	testlandscape02.jpg	337	627.2	1028
5	testlandscape02.jpg	271.7	564.5	276
5	testlandscape02.jpg	225.2	345.6	192
5	testlandscape02.jpg	269.3	346.5	232
5	testlandscape02.jpg	275.2	202.3	380
5	testlandscape02.jpg	246.6	115.6	272
